Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLO9iIoCD2TGCV7D Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 204;startOffset: 16;endOffset: 47;endLine: 204,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLOeiIoCD2TGCV5Y Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeConsulta2Stub.java - startLine: 135;startOffset: 16;endOffset: 47;endLine: 135,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLOAiIoCD2TGCV3- Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeInutilizacao2Stub.java - startLine: 131;startOffset: 16;endOffset: 47;endLine: 131,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLNAiIoCD2TGCV3P Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeRetAutorizacaoStub.java - startLine: 135;startOffset: 16;endOffset: 47;endLine: 135,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLOtiIoCD2TGCV6H Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/RecepcaoEventoStub.java - startLine: 138;startOffset: 16;endOffset: 47;endLine: 138,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLQ9iIoCD2TGCV_A Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsulta2Stub.java - startLine: 129;startOffset: 16;endOffset: 47;endLine: 129,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLQuiIoCD2TGCV9- Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsultaStub.java - startLine: 148;startOffset: 16;endOffset: 47;endLine: 148,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLPNiIoCD2TGCV79 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/statusservico/consulta/NfeStatusServico2Stub.java - startLine: 118;startOffset: 16;endOffset: 47;endLine: 118,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMTSiIoCD2TGCWR4 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/consultacadastro/CadConsultaCadastro4Stub.java - startLine: 168;startOffset: 16;endOffset: 47;endLine: 168,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMU5iIoCD2TGCWWj Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeAutorizacao4Stub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMU5iIoCD2TGCWWi Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeAutorizacao4Stub.java - startLine: 210;startOffset: 16;endOffset: 47;endLine: 210,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMVHiIoCD2TGCWXM Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeConsultaProtocolo4Stub.java - startLine: 141;startOffset: 16;endOffset: 47;endLine: 141,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMUWiIoCD2TGCWVW Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeInutilizacao4Stub.java - startLine: 142;startOffset: 16;endOffset: 47;endLine: 142,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMUriIoCD2TGCWV4 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeRecepcaoEvento4Stub.java - startLine: 141;startOffset: 16;endOffset: 47;endLine: 141,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMUIiIoCD2TGCWU0 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/gerado/NFeRetAutorizacao4Stub.java - startLine: 141;startOffset: 16;endOffset: 47;endLine: 141,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMWAiIoCD2TGCWX5 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIr Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 81;startOffset: 19;endOffset: 60;endLine: 81,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIs Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 165;startOffset: 19;endOffset: 60;endLine: 165,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIt Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 207;startOffset: 19;endOffset: 60;endLine: 207,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIu Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 291;startOffset: 19;endOffset: 60;endLine: 291,Reliability (Bugs)
To-Do,New,Normal,"java:S3655:  ""Call Optional#isPresent() before accessing the value.""",MAJOR,10min,Key: AYTIxMbviIoCD2TGCWba Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFStringValidador.java - startLine: 817;startOffset: 50;endOffset: 176;endLine: 817,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRV Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 1003;startOffset: 19;endOffset: 60;endLine: 1003,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRM Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 72;startOffset: 19;endOffset: 60;endLine: 72,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRN Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 158;startOffset: 19;endOffset: 60;endLine: 158,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRO Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 248;startOffset: 19;endOffset: 60;endLine: 248,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRP Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 506;startOffset: 19;endOffset: 60;endLine: 506,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRQ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 592;startOffset: 19;endOffset: 60;endLine: 592,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRR Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 678;startOffset: 19;endOffset: 60;endLine: 678,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRS Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 764;startOffset: 19;endOffset: 60;endLine: 764,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRU Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 851;startOffset: 19;endOffset: 60;endLine: 851,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRW Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 1023;startOffset: 19;endOffset: 60;endLine: 1023,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRX Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 1195;startOffset: 19;endOffset: 60;endLine: 1195,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRY Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 1281;startOffset: 19;endOffset: 60;endLine: 1281,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxMNEiIoCD2TGCWRZ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/NFAutorizador400.java - startLine: 1469;startOffset: 19;endOffset: 60;endLine: 1469,Reliability (Bugs)
To-Do,New,Normal,"java:S5998:  ""Refactor this repetition that can lead to a stack overflow for large inputs.""",MAJOR,20min,Key: AYTIxMbviIoCD2TGCWbi Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFStringValidador.java - startLine: 68;startOffset: 50;endOffset: 70;endLine: 68,Reliability (Bugs)
To-Do,New,Normal,"java:S5998:  ""Refactor this repetition that can lead to a stack overflow for large inputs.""",MAJOR,20min,Key: AYTIxMbviIoCD2TGCWbj Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFStringValidador.java - startLine: 78;startOffset: 50;endOffset: 70;endLine: 78,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIv Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 318;startOffset: 19;endOffset: 60;endLine: 318,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxL1aiIoCD2TGCWIw Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/CTAutorizador31.java - startLine: 338;startOffset: 19;endOffset: 60;endLine: 338,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this Socket in a finally clause.""",BLOCKER,5min,Key: AYTIxMZLiIoCD2TGCWZq Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFSocketFactory.java - startLine: 36;startOffset: 30;endOffset: 79;endLine: 36,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxLGgiIoCD2TGCV23 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/classes/NFAutorizador31.java - startLine: 1170;startOffset: 19;endOffset: 60;endLine: 1170,Reliability (Bugs)
To-Do,New,Normal,"java:S3923:  ""This conditional operation returns the same value whether the condition is true or false.""",MAJOR,15min,Key: AYTIxLGgiIoCD2TGCV24 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/classes/NFAutorizador31.java - startLine: 1342;startOffset: 19;endOffset: 60;endLine: 1342,Reliability (Bugs)
