Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMThiIoCD2TGCWSy Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/consultacadastro/MTCadConsultaCadastro4Stub.java - startLine: 170;startOffset: 16;endOffset: 47;endLine: 170,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMbViIoCD2TGCWaj Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte/webservices/distribuicao/CTeDistribuicaoDFeSoapStub.java - startLine: 138;startOffset: 16;endOffset: 47;endLine: 138,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL6qiIoCD2TGCWOy Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/consulta/CteConsultaStub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL5jiIoCD2TGCWNl Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/inutilizacao/CteInutilizacaoStub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL4ViIoCD2TGCWLX Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 149;startOffset: 16;endOffset: 47;endLine: 149,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL7GiIoCD2TGCWP5 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoOS/CteRecepcaoOSStub.java - startLine: 147;startOffset: 16;endOffset: 47;endLine: 147,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL4FiIoCD2TGCWKU Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoevento/RecepcaoEventoStub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL3piIoCD2TGCWJP Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/retrecepcao/CteRetRecepcaoStub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxL48iIoCD2TGCWMe Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/statusservico/CteStatusServicoStub.java - startLine: 146;startOffset: 16;endOffset: 47;endLine: 146,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLVXiIoCD2TGCWBr Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consulta/MDFeConsultaStub.java - startLine: 153;startOffset: 16;endOffset: 47;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLYMiIoCD2TGCWG3 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consultanaoencerrado/MDFeConsNaoEncStub.java - startLine: 153;startOffset: 16;endOffset: 47;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLVziIoCD2TGCWCs Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcao/MDFeRecepcaoStub.java - startLine: 153;startOffset: 16;endOffset: 47;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLXxiIoCD2TGCWF0 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcaoevento/MDFeRecepcaoEventoStub.java - startLine: 153;startOffset: 16;endOffset: 47;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLWuiIoCD2TGCWDx Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/retornorecepcao/MDFeRetRecepcaoStub.java - startLine: 153;startOffset: 16;endOffset: 47;endLine: 153,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLXWiIoCD2TGCWE0 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/statusservico/MDFeStatusServicoStub.java - startLine: 154;startOffset: 16;endOffset: 47;endLine: 154,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxMYQiIoCD2TGCWY2 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe/webservices/distribuicao/NFeDistribuicaoDFeSoapStub.java - startLine: 118;startOffset: 16;endOffset: 47;endLine: 118,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLRZiIoCD2TGCWAF Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/downloadnf/NfeDownloadNFStub.java - startLine: 150;startOffset: 16;endOffset: 47;endLine: 150,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLOPiIoCD2TGCV4t Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/CadConsultaCadastro2Stub.java - startLine: 135;startOffset: 16;endOffset: 47;endLine: 135,Reliability (Bugs)
To-Do,New,Normal,"java:S2259:  ""A NullPointerException could be thrown; _messageContext is nullable here.""",MAJOR,10min,Key: AYTIxLO9iIoCD2TGCV7C Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/gerado/NfeAutorizacaoStub.java - startLine: 140;startOffset: 16;endOffset: 47;endLine: 140,Reliability (Bugs)
